id, year, conflict_name, country, date_start, best 
163861, 2004, GAM - Civilians, Indonesia, 2004-10-28T00:00:00, 1 
163404, 2004, Indonesia:Aceh, Indonesia, 2004-01-04T00:00:00, 1 
163405, 2004, Indonesia:Aceh, Indonesia, 2004-01-05T00:00:00, 1 
163406, 2004, Indonesia:Aceh, Indonesia, 2004-01-06T00:00:00, 5 
163407, 2004, Indonesia:Aceh, Indonesia, 2004-06-10T00:00:00, 3 
163408, 2004, Indonesia:Aceh, Indonesia, 2004-06-13T00:00:00, 1 
163409, 2004, Indonesia:Aceh, Indonesia, 2004-06-14T00:00:00, 2 
163553, 2004, Indonesia:Aceh, Indonesia, 2004-08-08T00:00:00, 6 
163919, 2004, Indonesia:Aceh, Indonesia, 2004-05-01T00:00:00, 1 
163920, 2004, Indonesia:Aceh, Indonesia, 2004-07-16T00:00:00, 1 
163959, 2004, Indonesia:Aceh, Indonesia, 2004-05-29T00:00:00, 2 
163570, 2004, Indonesia:Aceh, Indonesia, 2004-01-13T00:00:00, 2 
163554, 2004, Indonesia:Aceh, Indonesia, 2004-05-19T00:00:00, 0 
163571, 2004, Indonesia:Aceh, Indonesia, 2004-01-14T00:00:00, 6 
163555, 2004, Indonesia:Aceh, Indonesia, 2004-09-01T00:00:00, 2 
163394, 2004, Indonesia:Aceh, Indonesia, 2004-01-24T00:00:00, 5 
163437, 2004, Indonesia:Aceh, Indonesia, 2004-07-26T00:00:00, 2 
163556, 2004, Indonesia:Aceh, Indonesia, 2004-09-02T00:00:00, 3 
163281, 2004, Indonesia:Aceh, Indonesia, 2004-12-14T00:00:00, 2 
163438, 2004, Indonesia:Aceh, Indonesia, 2004-07-26T00:00:00, 3 
163109, 2004, Indonesia:Aceh, Indonesia, 2004-01-30T00:00:00, 1 
163104, 2004, Indonesia:Aceh, Indonesia, 2004-01-14T00:00:00, 1 
163106, 2004, Indonesia:Aceh, Indonesia, 2004-01-29T00:00:00, 3 
163107, 2004, Indonesia:Aceh, Indonesia, 2004-01-30T00:00:00, 1 
163108, 2004, Indonesia:Aceh, Indonesia, 2004-01-30T00:00:00, 4 
163557, 2004, Indonesia:Aceh, Indonesia, 2004-04-13T00:00:00, 8 
163111, 2004, Indonesia:Aceh, Indonesia, 2004-02-04T00:00:00, 2 
163113, 2004, Indonesia:Aceh, Indonesia, 2004-02-04T00:00:00, 2 
163114, 2004, Indonesia:Aceh, Indonesia, 2004-02-04T00:00:00, 1 
163115, 2004, Indonesia:Aceh, Indonesia, 2004-03-26T00:00:00, 1 
163116, 2004, Indonesia:Aceh, Indonesia, 2004-03-26T00:00:00, 1 
163117, 2004, Indonesia:Aceh, Indonesia, 2004-03-26T00:00:00, 1 
163118, 2004, Indonesia:Aceh, Indonesia, 2004-03-26T00:00:00, 1 
163558, 2004, Indonesia:Aceh, Indonesia, 2004-04-16T00:00:00, 1 
163372, 2004, Christians (Indonesia) - Muslims (Indonesia), Indonesia, 2004-10-19T00:00:00, 2 
163358, 2004, Indonesia:Aceh, Indonesia, 2004-05-01T00:00:00, 1 
163374, 2004, Indonesia:Aceh, Indonesia, 2004-11-03T00:00:00, 4 
163375, 2004, Indonesia:Aceh, Indonesia, 2004-11-05T00:00:00, 1 
163274, 2004, Indonesia:Aceh, Indonesia, 2004-12-07T00:00:00, 3 
163250, 2004, Indonesia:Aceh, Indonesia, 2004-11-08T00:00:00, 2 
163251, 2004, Indonesia:Aceh, Indonesia, 2004-11-08T00:00:00, 1 
163252, 2004, Indonesia:Aceh, Indonesia, 2004-11-09T00:00:00, 9 
163254, 2004, Indonesia:Aceh, Indonesia, 2004-11-17T00:00:00, 5 
163255, 2004, Indonesia:Aceh, Indonesia, 2004-11-15T00:00:00, 6 
163256, 2004, Indonesia:Aceh, Indonesia, 2004-11-18T00:00:00, 6 
163257, 2004, Indonesia:Aceh, Indonesia, 2004-11-19T00:00:00, 5 
163260, 2004, Indonesia:Aceh, Indonesia, 2004-11-23T00:00:00, 2 
163261, 2004, Indonesia:Aceh, Indonesia, 2004-11-23T00:00:00, 2 
163359, 2004, Indonesia:Aceh, Indonesia, 2004-06-09T00:00:00, 5 
163263, 2004, GAM - Civilians, Indonesia, 2004-11-24T00:00:00, 3 
163410, 2004, Indonesia:Aceh, Indonesia, 2004-02-29T00:00:00, 5 
163264, 2004, Indonesia:Aceh, Indonesia, 2004-11-24T00:00:00, 7 
163266, 2004, Indonesia:Aceh, Indonesia, 2004-11-25T00:00:00, 5 
163267, 2004, Indonesia:Aceh, Indonesia, 2004-11-26T00:00:00, 6 
163268, 2004, Indonesia:Aceh, Indonesia, 2004-12-02T00:00:00, 8 
163271, 2004, Indonesia:Aceh, Indonesia, 2004-12-06T00:00:00, 9 
163272, 2004, Indonesia:Aceh, Indonesia, 2004-12-06T00:00:00, 1 
163426, 2004, Indonesia:Aceh, Indonesia, 2004-05-19T00:00:00, 1 
