id, year, conflict_name, country, date_start, best, type_of_violence 
120922, 2002, Indonesia:Aceh, Indonesia, 2002-01-09T00:00:00, 4, 1 
120923, 2002, Indonesia:Aceh, Indonesia, 2002-01-09T00:00:00, 1, 1 
120924, 2002, Indonesia:Aceh, Indonesia, 2002-01-09T00:00:00, 1, 1 
120926, 2002, Indonesia:Aceh, Indonesia, 2002-01-07T00:00:00, 0, 1 
120936, 2002, Indonesia:Aceh, Indonesia, 2002-01-13T00:00:00, 2, 1 
120938, 2002, Indonesia:Aceh, Indonesia, 2002-01-13T00:00:00, 5, 1 
120939, 2002, Indonesia:Aceh, Indonesia, 2002-01-12T00:00:00, 2, 1 
120941, 2002, Indonesia:Aceh, Indonesia, 2002-01-13T00:00:00, 2, 1 
120943, 2002, Indonesia:Aceh, Indonesia, 2002-01-16T00:00:00, 2, 1 
120944, 2002, Indonesia:Aceh, Indonesia, 2002-01-16T00:00:00, 1, 1 
120946, 2002, Indonesia:Aceh, Indonesia, 2002-01-18T00:00:00, 4, 1 
120947, 2002, Indonesia:Aceh, Indonesia, 2002-01-18T00:00:00, 1, 1 
120948, 2002, Indonesia:Aceh, Indonesia, 2002-01-19T00:00:00, 4, 1 
120950, 2002, Indonesia:Aceh, Indonesia, 2002-01-22T00:00:00, 7, 1 
120952, 2002, Indonesia:Aceh, Indonesia, 2002-01-25T00:00:00, 6, 1 
120953, 2002, Indonesia:Aceh, Indonesia, 2002-01-31T00:00:00, 3, 1 
120954, 2002, Indonesia:Aceh, Indonesia, 2002-01-30T00:00:00, 4, 1 
120955, 2002, Indonesia:Aceh, Indonesia, 2002-01-31T00:00:00, 1, 1 
121105, 2002, Indonesia:Aceh, Indonesia, 2002-02-03T00:00:00, 2, 1 
141054, 2000, Indonesia:Aceh, Indonesia, 2000-10-17T00:00:00, 1, 1 
141330, 1999, Government of Indonesia - Civilians, Indonesia, 1999-04-12T00:00:00, 1, 3 
141331, 1999, Government of Indonesia - Civilians, Indonesia, 1999-04-12T00:00:00, 7, 3 
141483, 2001, Indonesia:Aceh, Indonesia, 2001-03-18T00:00:00, 1, 1 
142040, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-09T00:00:00, 1, 3 
129087, 2002, GAM - Civilians, Indonesia, 2002-03-18T00:00:00, 2, 3 
129166, 2002, Laskar Jihad - Civilians, Indonesia, 2002-04-28T00:00:00, 12, 3 
140904, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-12T00:00:00, 1, 3 
140942, 2000, Indonesia:Aceh, Indonesia, 2000-09-30T00:00:00, 2, 1 
141333, 1997, Dayak - Madurese, Indonesia, 1997-01-01T00:00:00, 5, 2 
141371, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-08T00:00:00, 2, 3 
141372, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-17T00:00:00, 1, 3 
141405, 1999, Indonesia:Aceh, Indonesia, 1999-07-11T00:00:00, 0, 1 
142032, 2001, Government of Indonesia - Civilians, Indonesia, 2001-05-11T00:00:00, 0, 3 
128800, 2002, Indonesia:Aceh, Indonesia, 2002-02-08T00:00:00, 1, 1 
129154, 2002, Indonesia:Aceh, Indonesia, 2002-04-14T00:00:00, 2, 1 
129098, 2002, Indonesia:Aceh, Indonesia, 2002-03-25T00:00:00, 3, 1 
128790, 2002, Indonesia:Aceh, Indonesia, 2002-02-06T00:00:00, 3, 1 
128791, 2002, Government of Indonesia - Civilians, Indonesia, 2002-02-07T00:00:00, 0, 3 
128796, 2002, Indonesia:Aceh, Indonesia, 2002-02-07T00:00:00, 1, 1 
128798, 2002, Indonesia:Aceh, Indonesia, 2002-02-08T00:00:00, 1, 1 
128799, 2002, Indonesia:Aceh, Indonesia, 2002-02-08T00:00:00, 1, 1 
128801, 2002, Indonesia:Aceh, Indonesia, 2002-02-11T00:00:00, 1, 1 
128802, 2002, Indonesia:Aceh, Indonesia, 2002-02-11T00:00:00, 2, 1 
128804, 2002, Indonesia:Aceh, Indonesia, 2002-02-11T00:00:00, 2, 1 
128805, 2002, Government of Indonesia - Civilians, Indonesia, 2002-02-11T00:00:00, 1, 3 
129049, 2002, Indonesia:Aceh, Indonesia, 2002-02-18T00:00:00, 2, 1 
129003, 2002, Indonesia:Aceh, Indonesia, 2002-02-20T00:00:00, 1, 1 
129175, 2002, Indonesia:Aceh, Indonesia, 2002-05-05T00:00:00, 5, 1 
128997, 2002, Indonesia:Aceh, Indonesia, 2002-02-18T00:00:00, 0, 1 
128998, 2002, Indonesia:Aceh, Indonesia, 2002-02-17T00:00:00, 1, 1 
128999, 2002, Indonesia:Aceh, Indonesia, 2002-02-17T00:00:00, 1, 1 
129000, 2002, Indonesia:Aceh, Indonesia, 2002-02-16T00:00:00, 1, 1 
129001, 2002, Indonesia:Aceh, Indonesia, 2002-02-20T00:00:00, 1, 1 
129002, 2002, Indonesia:Aceh, Indonesia, 2002-02-20T00:00:00, 3, 1 
129004, 2002, Indonesia:Aceh, Indonesia, 2002-02-20T00:00:00, 1, 1 
129086, 2002, Indonesia:Aceh, Indonesia, 2002-03-18T00:00:00, 1, 1 
129048, 2002, Government of Indonesia - Civilians, Indonesia, 2002-02-18T00:00:00, 4, 3 
129057, 2002, Government of Indonesia - Civilians, Indonesia, 2002-02-22T00:00:00, 0, 3 
129050, 2002, Government of Indonesia - Civilians, Indonesia, 2002-02-22T00:00:00, 1, 3 
129051, 2002, Government of Indonesia - Civilians, Indonesia, 2002-02-22T00:00:00, 1, 3 
129052, 2002, Indonesia:Aceh, Indonesia, 2002-02-24T00:00:00, 1, 1 
129054, 2002, Indonesia:Aceh, Indonesia, 2002-02-24T00:00:00, 0, 1 
129096, 2002, Indonesia:Aceh, Indonesia, 2002-03-26T00:00:00, 2, 1 
129055, 2002, Indonesia:Aceh, Indonesia, 2002-02-24T00:00:00, 4, 1 
129058, 2002, Indonesia:Aceh, Indonesia, 2002-02-26T00:00:00, 6, 1 
129064, 2002, Indonesia:Aceh, Indonesia, 2002-03-01T00:00:00, 2, 1 
129065, 2002, Indonesia:Aceh, Indonesia, 2002-03-02T00:00:00, 3, 1 
129097, 2002, Indonesia:Aceh, Indonesia, 2002-03-26T00:00:00, 1, 1 
129068, 2002, Indonesia:Aceh, Indonesia, 2002-03-05T00:00:00, 1, 1 
129070, 2002, Indonesia:Aceh, Indonesia, 2002-03-07T00:00:00, 9, 1 
129066, 2002, Indonesia:Aceh, Indonesia, 2002-03-04T00:00:00, 1, 1 
129071, 2002, Indonesia:Aceh, Indonesia, 2002-03-06T00:00:00, 1, 1 
129073, 2002, Indonesia:Aceh, Indonesia, 2002-03-07T00:00:00, 9, 1 
129074, 2002, Indonesia:Aceh, Indonesia, 2002-03-12T00:00:00, 4, 1 
129075, 2002, Indonesia:Aceh, Indonesia, 2002-03-10T00:00:00, 1, 1 
129076, 2002, Indonesia:Aceh, Indonesia, 2002-03-10T00:00:00, 7, 1 
129080, 2002, Government of Indonesia - Civilians, Indonesia, 2002-03-17T00:00:00, 3, 3 
129081, 2002, Government of Indonesia - Civilians, Indonesia, 2002-03-16T00:00:00, 0, 3 
129083, 2002, Indonesia:Aceh, Indonesia, 2002-03-19T00:00:00, 3, 1 
129085, 2002, Indonesia:Aceh, Indonesia, 2002-03-10T00:00:00, 0, 1 
129089, 2002, Indonesia:Aceh, Indonesia, 2002-03-21T00:00:00, 5, 1 
129155, 2002, Indonesia:Aceh, Indonesia, 2002-04-14T00:00:00, 3, 1 
129090, 2002, Indonesia:Aceh, Indonesia, 2002-03-21T00:00:00, 0, 1 
129091, 2002, Indonesia:Aceh, Indonesia, 2002-03-22T00:00:00, 0, 1 
129092, 2002, Indonesia:Aceh, Indonesia, 2002-03-22T00:00:00, 0, 1 
129094, 2002, Indonesia:Aceh, Indonesia, 2002-03-22T00:00:00, 3, 1 
129095, 2002, Indonesia:Aceh, Indonesia, 2002-03-22T00:00:00, 2, 1 
129156, 2002, Indonesia:Aceh, Indonesia, 2002-04-22T00:00:00, 2, 1 
129138, 2002, Indonesia:Aceh, Indonesia, 2002-03-30T00:00:00, 11, 1 
129139, 2002, Indonesia:Aceh, Indonesia, 2002-03-30T00:00:00, 1, 1 
